t,x
0.001100117047337007,0.011602397231798456
0.032955541200023045,0.1852801780654567
0.06590788438537357,0.3705603561309134
0.09941668212373761,0.5325717794393241
0.13402239889476614,0.7061855999795323
0.16697794009478917,0.8798377966958113
0.20103679635682167,1.041836427945531
0.2339923375568447,1.21548862466181
0.2669510767715402,1.3775128400289098
0.3010099330335727,1.5395114712786304
0.33397187026294073,1.6899077052965519
0.36693380749230875,1.8403039393144736
0.4015395242633373,2.013917759854682
0.43339814643069585,2.1759675593391625
0.4669133401984049,2.3147230199492155
0.5004221379367689,2.4767344432576257
