t,x,y,vx,vy
0.0011,0.011602,0.426361,5.4997,1.6014666666666668
0.034359999999999995,0.19318313554434027,0.49010933333333334,5.423850909090909,1.4544630303030304
0.06762,0.37879847296323,0.5403084986782024,5.206664117647059,1.0749417647058823
0.10088,0.5399253261738111,0.583208395475983,5.121653333333334,0.7058666666666668
0.13413999999999998,0.7068318885484257,0.6056858112232636,5.176818181818183,0.39601090909090936
0.1674,0.8817732505407354,0.6080562408074982,5.029735294117647,0.020523529411764843
0.20065999999999998,1.040044158465513,0.5972472062605143,4.977460000000001,-0.27549999999999975
0.23391999999999996,1.2150648383201152,0.5911489758171112,4.996682424242424,-0.553475151515151
0.26718,1.3785673921232875,0.5590889298846431,4.881,-0.860557058823529
0.30044,1.5368026159276615,0.515612298666186,4.88056,-1.18644
0.3337,1.6886683592585918,0.4588553708844027,4.845539393939394,-1.5211090909090905
0.36695999999999995,1.8405731635375049,0.397109887230016,4.7315764705882355,-1.8124305882352936
0.40021999999999996,2.0072962834054313,0.3149013846431148,4.717099999999999,-2.1391199999999992
0.43348,2.175964733056957,0.22506739185292007,4.731345454545455,-2.4590581818181816
0.46673999999999993,2.3141569855203072,0.11653513428262458,4.686760588235295,-2.7367858823529407
0.5,2.4746936741167986,0.0018865501081472003,4.676,-2.862
